,pos,neg,neu,comp,tag
399,0.0,0.0,1.0,0.0,2005
400,0.175,0.0,0.825,0.8271,2005
401,0.207,0.134,0.659,0.5994,2005
402,0.118,0.0,0.882,0.8442,2005
403,0.062,0.172,0.766,-0.8442,2005
404,0.078,0.068,0.854,0.1027,2005
405,0.08,0.226,0.694,-0.9118,2005
406,0.066,0.139,0.795,-0.5719,2005
407,0.0,0.163,0.837,-0.872,2005
408,0.094,0.153,0.753,-0.6369,2005
409,0.161,0.233,0.605,-0.7351,2005
410,0.054,0.182,0.765,-0.6908,2005
411,0.114,0.139,0.747,-0.3612,2005
412,0.0,0.289,0.711,-0.959,2005
413,0.24,0.063,0.698,0.9377,2005
414,0.109,0.175,0.716,-0.4767,2005
415,0.196,0.216,0.588,-0.2023,2005
416,0.055,0.314,0.631,-0.9744,2005
417,0.042,0.434,0.524,-0.9803,2005
418,0.061,0.068,0.871,-0.0516,2005
419,0.154,0.213,0.634,-0.802,2005
420,0.038,0.0,0.962,0.34,2005
421,0.066,0.1,0.833,-0.1531,2005
422,0.187,0.048,0.764,0.836,2005
423,0.137,0.253,0.61,-0.7783,2005
424,0.197,0.281,0.522,-0.7184,2005
425,0.0,0.193,0.807,-0.9081,2005
426,0.105,0.143,0.753,-0.7184,2005
427,0.168,0.06,0.771,0.7717,2005
428,0.264,0.044,0.692,0.9313,2005
429,0.261,0.067,0.672,0.802,2005
430,0.304,0.0,0.696,0.9403,2005
431,0.151,0.054,0.795,0.7351,2005
432,0.082,0.255,0.663,-0.9403,2005
433,0.158,0.217,0.625,-0.6808,2005
434,0.095,0.176,0.729,-0.765,2005
435,0.206,0.113,0.68,0.802,2005
436,0.075,0.033,0.892,0.4215,2005
437,0.121,0.174,0.705,-0.7351,2005
438,0.14,0.062,0.797,0.5423,2005
439,0.125,0.221,0.655,-0.836,2005
440,0.157,0.229,0.614,-0.25,2005
441,0.062,0.059,0.879,0.0258,2005
442,0.112,0.114,0.775,-0.0258,2005
443,0.101,0.229,0.67,-0.9022,2005
444,0.187,0.0,0.813,0.8834,2005
445,0.041,0.147,0.812,-0.7506,2005
446,0.093,0.358,0.55,-0.9853,2005
447,0.115,0.046,0.839,0.5106,2005
448,0.122,0.0,0.878,0.7351,2005
449,0.171,0.023,0.806,0.875,2005
450,0.123,0.118,0.76,0.0516,2005
451,0.085,0.143,0.772,-0.8316,2005
452,0.119,0.117,0.765,-0.2023,2005
453,0.102,0.103,0.795,0.2263,2005
454,0.103,0.0,0.897,0.6705,2005
455,0.143,0.274,0.583,-0.9253,2005
456,0.051,0.455,0.495,-0.9825,2005
457,0.094,0.166,0.74,-0.5994,2005
458,0.141,0.0,0.859,0.6808,2005
459,0.088,0.216,0.696,-0.7579,2005
460,0.197,0.109,0.694,0.4019,2005
461,0.207,0.09,0.703,0.7184,2005
462,0.094,0.0,0.906,0.6908,2005
463,0.196,0.24,0.564,-0.743,2005
464,0.195,0.095,0.71,0.5667,2005
465,0.0,0.219,0.781,-0.8074,2005
466,0.146,0.09,0.764,0.6124,2005
467,0.182,0.07,0.749,0.6486,2005
468,0.095,0.186,0.719,-0.7783,2005
469,0.019,0.132,0.848,-0.765,2005
470,0.055,0.31,0.635,-0.946,2005
471,0.087,0.34,0.573,-0.9607,2005
472,0.17,0.065,0.765,0.5574,2005
473,0.0,0.145,0.855,-0.7184,2005
474,0.036,0.176,0.788,-0.8957,2005
475,0.268,0.13,0.602,0.802,2005
476,0.0,0.325,0.675,-0.9538,2005
477,0.0,0.0,1.0,0.0,2005
478,0.229,0.122,0.65,0.7845,2005
479,0.149,0.142,0.709,-0.1779,2005
480,0.427,0.0,0.573,0.959,2005
481,0.045,0.0,0.955,0.4404,2005
482,0.113,0.425,0.462,-0.9766,2005
483,0.024,0.236,0.741,-0.946,2005
484,0.22,0.0,0.78,0.875,2005
485,0.09,0.088,0.822,-0.2263,2005
486,0.129,0.109,0.762,-0.1027,2005
487,0.165,0.243,0.593,-0.6369,2005
488,0.111,0.0,0.889,0.4767,2005
489,0.1,0.233,0.667,-0.8807,2006
490,0.1,0.204,0.697,-0.743,2006
491,0.081,0.11,0.81,-0.0516,2006
492,0.144,0.165,0.691,-0.2023,2006
493,0.047,0.075,0.879,-0.3626,2006
494,0.1,0.11,0.79,-0.128,2006
495,0.152,0.129,0.718,0.2023,2006
496,0.221,0.059,0.721,0.7506,2006
497,0.15,0.126,0.724,0.2799,2006
498,0.038,0.159,0.803,-0.6908,2006
499,0.182,0.122,0.696,0.2732,2006
500,0.087,0.284,0.629,-0.8934,2006
501,0.094,0.0,0.906,0.4019,2006
502,0.159,0.235,0.606,-0.5267,2006
503,0.227,0.0,0.773,0.9042,2006
504,0.08,0.0,0.92,0.4215,2006
505,0.071,0.217,0.712,-0.7269,2006
506,0.182,0.068,0.75,0.5574,2006
507,0.06,0.198,0.742,-0.6908,2006
508,0.073,0.386,0.541,-0.9818,2006
509,0.161,0.252,0.587,-0.7506,2006
510,0.071,0.247,0.682,-0.7906,2006
511,0.0,0.0,1.0,0.0,2006
512,0.077,0.261,0.662,-0.891,2006
513,0.135,0.142,0.723,-0.1531,2006
514,0.279,0.114,0.607,0.872,2006
515,0.288,0.086,0.626,0.9062,2006
516,0.037,0.097,0.866,-0.5106,2006
517,0.181,0.03,0.789,0.7964,2006
518,0.028,0.207,0.764,-0.8481,2006
519,0.148,0.215,0.637,-0.6369,2006
520,0.196,0.0,0.804,0.7783,2006
521,0.096,0.099,0.805,-0.0516,2006
522,0.191,0.189,0.619,0.0258,2006
523,0.163,0.145,0.692,0.0258,2006
524,0.131,0.173,0.696,-0.2732,2006
525,0.136,0.027,0.837,0.6808,2006
526,0.208,0.078,0.714,0.6124,2006
527,0.042,0.208,0.75,-0.8402,2006
528,0.0,0.305,0.695,-0.9313,2006
529,0.025,0.126,0.849,-0.7506,2006
530,0.071,0.123,0.806,-0.2732,2006
531,0.111,0.219,0.67,-0.6908,2006
532,0.107,0.0,0.893,0.5859,2006
533,0.13,0.0,0.87,0.7579,2006
534,0.071,0.124,0.804,-0.5994,2006
535,0.05,0.181,0.769,-0.743,2006
536,0.272,0.059,0.669,0.8779,2006
537,0.113,0.0,0.887,0.5719,2006
538,0.0,0.0,1.0,0.0,2006
539,0.162,0.122,0.716,0.1779,2006
