,pos,neg,neu,comp,tag
412,0.221,0.277,0.502,-0.8592,2005
413,0.251,0.142,0.607,0.9943,2005
414,0.136,0.247,0.617,-0.9946,2005
415,0.345,0.031,0.624,0.9991,2005
416,0.178,0.039,0.783,0.9958,2005
417,0.189,0.221,0.589,-0.5859,2005
418,0.078,0.097,0.824,-0.5852,2005
419,0.159,0.128,0.712,0.8269,2005
420,0.206,0.054,0.74,0.9948,2005
421,0.357,0.022,0.62,0.9984,2005
422,0.089,0.201,0.71,-0.9912,2005
423,0.428,0.084,0.488,0.999,2005
424,0.139,0.037,0.824,0.9588,2005
425,0.221,0.047,0.732,0.9752,2005
426,0.122,0.214,0.665,-0.9352,2005
427,0.313,0.189,0.498,0.9793,2005
428,0.427,0.075,0.499,0.9967,2005
429,0.112,0.303,0.585,-0.9858,2005
430,0.053,0.26,0.687,-0.9922,2005
431,0.159,0.084,0.757,0.9876,2005
432,0.168,0.083,0.749,0.9856,2005
433,0.275,0.08,0.645,0.9944,2005
434,0.058,0.369,0.574,-0.9985,2005
435,0.127,0.218,0.655,-0.7579,2005
436,0.132,0.095,0.774,0.4261,2005
437,0.118,0.014,0.868,0.9805,2005
438,0.176,0.215,0.609,-0.936,2005
439,0.233,0.17,0.597,0.9809,2005
440,0.105,0.183,0.713,-0.9907,2005
441,0.222,0.148,0.63,0.9779,2005
442,0.191,0.221,0.588,-0.9679,2005
443,0.132,0.04,0.828,0.9923,2005
444,0.165,0.064,0.771,0.9712,2005
445,0.218,0.085,0.697,0.9917,2005
446,0.129,0.085,0.786,0.8519,2005
447,0.047,0.051,0.902,-0.128,2005
448,0.188,0.134,0.678,0.1027,2005
449,0.159,0.168,0.674,-0.7763,2005
450,0.071,0.022,0.907,0.9509,2005
451,0.289,0.099,0.613,0.9905,2005
452,0.3,0.207,0.493,0.9883,2005
453,0.05,0.271,0.679,-0.9982,2005
454,0.142,0.07,0.788,0.7906,2005
455,0.106,0.065,0.829,0.9559,2005
456,0.314,0.101,0.585,0.9971,2005
457,0.144,0.006,0.85,0.9615,2005
458,0.593,0.132,0.275,0.9995,2005
459,0.266,0.133,0.601,0.9871,2005
460,0.202,0.148,0.65,0.9686,2005
461,0.238,0.11,0.653,0.9698,2005
462,0.221,0.283,0.496,-0.8457,2005
463,0.221,0.238,0.541,0.8423,2005
464,0.304,0.107,0.59,0.9981,2005
465,0.529,0.112,0.359,0.998,2005
466,0.378,0.111,0.511,0.9723,2005
467,0.115,0.263,0.623,-0.9988,2005
468,0.114,0.06,0.826,0.9716,2005
469,0.073,0.066,0.861,0.3325,2005
470,0.561,0.055,0.384,0.9995,2005
471,0.182,0.126,0.692,0.9115,2005
472,0.116,0.038,0.846,0.9333,2005
473,0.265,0.186,0.55,0.9465,2005
474,0.13,0.201,0.669,-0.8591,2005
475,0.086,0.144,0.77,-0.9624,2005
476,0.073,0.28,0.647,-0.9968,2005
477,0.246,0.108,0.647,0.9864,2005
478,0.135,0.084,0.781,0.9779,2005
479,0.142,0.179,0.679,-0.3356,2005
480,0.147,0.148,0.706,0.2263,2005
481,0.146,0.091,0.764,0.9146,2005
482,0.168,0.085,0.747,0.9186,2005
483,0.214,0.137,0.649,0.9772,2005
484,0.129,0.048,0.822,0.5986,2005
485,0.252,0.051,0.697,0.9947,2005
486,0.116,0.011,0.873,0.9419,2005
487,0.219,0.08,0.702,0.9907,2005
488,0.14,0.101,0.759,0.6802,2005
489,0.134,0.31,0.556,-0.9911,2006
490,0.15,0.03,0.819,0.9812,2006
491,0.144,0.213,0.642,-0.961,2006
492,0.505,0.087,0.408,0.995,2006
493,0.153,0.103,0.744,0.9609,2006
494,0.033,0.068,0.9,-0.7359,2006
495,0.252,0.282,0.466,-0.3979,2006
496,0.091,0.255,0.654,-0.9989,2006
497,0.29,0.058,0.651,0.9984,2006
498,0.174,0.071,0.755,0.9788,2006
499,0.189,0.176,0.634,0.729,2006
500,0.172,0.031,0.797,0.9968,2006
501,0.094,0.089,0.817,-0.069,2006
502,0.295,0.029,0.676,0.9949,2006
503,0.066,0.029,0.904,0.804,2006
504,0.168,0.083,0.749,0.9856,2006
505,0.219,0.32,0.461,-0.9633,2006
506,0.098,0.09,0.812,0.3438,2006
507,0.25,0.184,0.566,0.9855,2006
508,0.248,0.187,0.565,0.855,2006
509,0.141,0.306,0.553,-0.9976,2006
510,0.283,0.078,0.639,0.9907,2006
511,0.049,0.142,0.809,-0.989,2006
512,0.059,0.065,0.876,-0.5663,2006
513,0.076,0.246,0.678,-0.9584,2006
514,0.296,0.272,0.433,0.8539,2006
515,0.163,0.235,0.602,-0.947,2006
516,0.177,0.103,0.72,0.9042,2006
517,0.255,0.116,0.629,0.9797,2006
518,0.236,0.097,0.666,0.9231,2006
519,0.239,0.1,0.661,0.9882,2006
520,0.292,0.169,0.539,0.9866,2006
521,0.18,0.074,0.745,0.9926,2006
522,0.223,0.154,0.623,0.9775,2006
523,0.141,0.054,0.805,0.9922,2006
524,0.235,0.028,0.737,0.9895,2006
525,0.275,0.08,0.645,0.9944,2006
526,0.221,0.283,0.496,-0.8457,2006
527,0.232,0.023,0.746,0.994,2006
528,0.089,0.201,0.71,-0.9912,2006
529,0.187,0.189,0.624,-0.5607,2006
530,0.292,0.102,0.606,0.9943,2006
531,0.158,0.106,0.736,0.765,2006
532,0.062,0.208,0.73,-0.9951,2006
533,0.089,0.161,0.75,-0.9797,2006
534,0.136,0.299,0.565,-0.984,2006
535,0.183,0.178,0.639,0.7676,2006
536,0.371,0.019,0.61,0.9984,2006
537,0.11,0.131,0.759,-0.2271,2006
538,0.203,0.071,0.726,0.9758,2006
539,0.163,0.071,0.766,0.924,2006
540,0.121,0.179,0.7,-0.9738,2006
541,0.069,0.075,0.856,0.6369,2006
542,0.418,0.058,0.525,0.9977,2006
543,0.144,0.085,0.772,0.9274,2006
544,0.033,0.039,0.928,-0.2509,2006
545,0.207,0.036,0.756,0.9925,2006
546,0.343,0.04,0.618,0.9994,2006
547,0.106,0.373,0.521,-0.9993,2006
548,0.105,0.099,0.796,0.8945,2006
549,0.113,0.156,0.73,-0.9766,2006
550,0.12,0.08,0.8,0.9338,2006
551,0.123,0.098,0.779,0.749,2006
552,0.477,0.065,0.458,0.9998,2006
553,0.053,0.26,0.687,-0.9922,2006
554,0.238,0.02,0.742,0.9955,2006
555,0.169,0.081,0.75,0.9601,2006
556,0.053,0.212,0.735,-0.9864,2006
557,0.237,0.07,0.693,0.9834,2006
558,0.037,0.207,0.756,-0.99,2006
559,0.094,0.0,0.906,0.9774,2006
560,0.192,0.061,0.748,0.9821,2006
561,0.13,0.08,0.79,0.8934,2006
562,0.237,0.359,0.403,-0.9412,2006
563,0.144,0.105,0.751,0.802,2006
564,0.125,0.016,0.859,0.987,2006
565,0.141,0.142,0.717,-0.3328,2006
566,0.135,0.084,0.781,0.9779,2006
567,0.186,0.31,0.504,-0.9885,2006
568,0.085,0.092,0.823,0.1073,2006
569,0.533,0.024,0.444,0.9995,2006
570,0.197,0.096,0.707,0.9928,2006
571,0.111,0.129,0.761,-0.7393,2006
572,0.091,0.1,0.809,-0.0961,2006
573,0.191,0.221,0.588,-0.9679,2006
574,0.08,0.068,0.852,0.4588,2006
575,0.156,0.144,0.699,0.2263,2006
576,0.0,0.128,0.872,-0.9867,2006
577,0.086,0.18,0.734,-0.9916,2006
578,0.174,0.049,0.777,0.9601,2006
579,0.188,0.295,0.517,-0.9663,2006
580,0.226,0.059,0.715,0.9983,2006
581,0.208,0.274,0.519,-0.9839,2006
582,0.313,0.189,0.498,0.9793,2006
583,0.246,0.051,0.704,0.9651,2006
584,0.229,0.023,0.747,0.9839,2006
585,0.083,0.158,0.759,-0.9803,2007
586,0.146,0.11,0.744,0.8783,2007
587,0.37,0.103,0.527,0.9983,2007
588,0.303,0.122,0.575,0.9908,2007
589,0.106,0.194,0.701,-0.958,2007
590,0.219,0.101,0.681,0.9727,2007
591,0.113,0.201,0.685,-0.9866,2007
592,0.177,0.147,0.675,0.3204,2007
593,0.417,0.082,0.501,0.999,2007
594,0.256,0.197,0.547,0.9561,2007
595,0.222,0.089,0.689,0.981,2007
596,0.149,0.194,0.657,-0.9186,2007
597,0.582,0.021,0.397,0.9998,2007
598,0.123,0.098,0.779,0.749,2007
599,0.058,0.086,0.856,-0.9294,2007
600,0.16,0.251,0.589,-0.9452,2007
601,0.303,0.005,0.692,0.995,2007
602,0.277,0.07,0.653,0.9974,2007
603,0.21,0.103,0.687,0.9849,2007
604,0.092,0.077,0.831,0.4389,2007
605,0.212,0.061,0.728,0.9943,2007
606,0.296,0.272,0.433,0.8539,2007
607,0.281,0.137,0.582,0.9779,2007
608,0.343,0.04,0.618,0.9994,2007
609,0.13,0.138,0.732,-0.8689,2007
610,0.128,0.054,0.818,0.9485,2007
611,0.192,0.135,0.673,0.899,2007
612,0.066,0.075,0.859,-0.6597,2007
613,0.438,0.074,0.488,0.9986,2007
614,0.279,0.184,0.537,0.9589,2007
615,0.06,0.206,0.733,-0.9952,2007
616,0.319,0.111,0.57,0.9987,2007
617,0.216,0.098,0.686,0.9916,2007
618,0.376,0.029,0.595,0.9978,2007
619,0.168,0.12,0.712,0.5423,2007
620,0.093,0.278,0.629,-0.9953,2007
621,0.419,0.027,0.555,0.9988,2007
622,0.109,0.189,0.702,-0.9558,2007
623,0.201,0.093,0.706,0.9801,2007
624,0.087,0.21,0.702,-0.9959,2007
625,0.424,0.051,0.525,0.9994,2007
