Rank,Song,Artist,Year,Lyrics
25,ms jackson,outkast,2001,yeah one right goes babys mamas mamas mamas mamas baby mamas mamas yeah go like thisim sorry ms jackson real never meant make daughter cry apologize trillion times im sorry ms jackson real never meant make daughter cry apologize trillion timesmy babys drama mama like things like boys come neighborhood studio trying fight need get piece american pie take bite thats house ill disconnect cable turn lights let know grandchild baby paycheck private school daycare shit medical bills pay love mom everything see aint one laid wanna rib start custody war lawyers stay shit never got chance hear side story divided fish fries cookouts childs birthday aint invited despite show utmost respect fall defend lady call yeahim sorry ms jackson real never meant make daughter cry apologize trillion times im sorry ms jackson real never meant make daughter cry apologize trillion timesme yo daughter gots thing going got special kind thing going say puppy love say full grown hope feel feel way forever plan pretty picnic cant predict weather ms jacksonten times nine im lyin fine quickest muzzle throw mouth ill decline king meets queen puppy love thing together dream bout crib goodyear swing oak tree hope feel like forever forever forever ever forever ever forever never seems long grown notice day day ruler cant wrong ms jackson intentions good wish could become magician abacadabra sadder thoughts thoughts thoughts asking happened feeling pray much need knee pads happened reason one cant mad know know everythings cool yes present first day school graduationim sorry ms jackson real never meant make daughter cry apologize trillion times im sorry ms jackson real never meant make daughter cry apologize trillion timesuh uh yeah look way treats shit look way treat see little nosyass home girls done got ass sent creek g without paddle left straddle ride thing girl aint speaking cause dick mouth know im talking jealousy infidelity envy cheating beating envy g thing placing blame keep singing song let bygones bygones go get hell mamaim sorry ms jackson real never meant make daughter cry apologize trillion times im sorry ms jackson real never meant make daughter cry apologize trillion timesim sorry ms jackson real never meant make daughter cry apologize trillion times im sorry ms jackson real never meant make daughter cry apologize trillion times
26,love cost thing,jennifer lopez,2001,think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thingwhen rolled escalade saw truck gave valet knew game looked pulling sleeve could see rolley bling saw later corner booth raising toast would notice hearts mess think outta know matter balling controlall matters treat right give things need money cant buy yeah memory byamandah editor jlo james corden absolutely nailed love cost thing version carpool karaoke late late show see think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thingwhen took chance thought understand baby credit cards romance tryna buy whats already need available stores seen side really feel way much never keep real change gotta hit road im leaving wheres keys ive got goall matters treat right give things need money cant buy yeahyou think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thinga thing thing thing yeah yeah yeah think money make substitute time take take keys heart win heart get whats heart think need take time show love true theres dollar signs win heart get whats heartyou think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thingyou think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thingyou think gotta keep iced think im gonna spend cash even broke love cost thing think wanna drive benz wanna floss got even broke love cost thing
27,way love,faith hill,2001,could grant one wish id wish could see way kiss love watching baby driving crazyooh love way love way love theres nowhere else id rather ooo feel way feel arms around wish could see way love woh woh woh woh way love meits right fair missing someday ill find way show lucky know youooh love way love way love theres nowhere else id rather ooo feel way feel arms around wish could see way love woh woh woh woh way love meyoure million reasons theres love reflecting eyesooh love way love way love theres nowhere else id rather ooo feel way feel arms around wish could see way love woh woh woh woh way love woh woh woh woh way love woh woh woh woh way love meooh way love way love yeahthe way love woh woh woh woh way love woh woh woh woh way love woh woh woh woh way love
28,loves u,dream,2001,give girl give ya got take chance second hand shot say want girl hes never gonna gonna make youyoure pulling petals flower trying get way keep pulling til says want say girl pick field full daisies hed still babyi know hardly wait til im away instinctively know thinking giving open invitation baby taken inyou pout cherry lips try tend sweet kiss flutt pretty eyes aint got hands tiedno chains unlock free wants hes hes got loves loves u notno matter hes never gonna hes hes got loves loves u notyoure kind girl always dare want hes always looking new ride grass greener sideyoure kind girl whos used hearing lovers try take wanna go matter hard try never gonna get guyno chains unlock free wants hes hes got loves loves u notno matter hes never gonna hes hes got loves loves u notdoesnt matter hes never gonna yougive girl give ya got take chance second hand shot say want girl hes never gonna make youyou pout cherry lips yeah try tend sweet kiss flutt pretty eyes aint got hands tiedno chains unlock free wants hes hes got loves loves u notno matter hes never gonna hes hes got loves loves u notno chains unlock free wants hes hes got loves loves u notno matter hes never gonna hes hes got loves loves u
29,butterfly,crazy town,2001,come lady come come lady butterfly sugar baby come lady come come lady butterfly sugar babysuch sexy sexy pretty little thing fierce nipple pierce got sprung tongue ring aint gonna lie cause loving gets high keep side theres nothing try butterflies eyes looks kill time passing im asking could real cause cant sleep cant hold still thing really know got sex appeal feel much never enough always lift times get rough lost im found ever since around women want yo im putting downcome come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazy come come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazyi deserve unless kind hidden message show life precious guess true tell truth really never knew til met see lost confused twisted used knew better life existed thought missed itmy lifestyles wild living like wild child trapped short leash paroled police files yo happening see sun breaking dark clouds vision standing crowdcome come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazy come come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazyhey sugar momma come dance smartest thing ever take chance whatever tickles fancy girl like sid nancy sexy almost evil talkin butterflies head used think happy endings books read made feel alive almost deadyou filled empty space love used chase far see get better butterfly song sealed kiss thank misscome dance come dance come dance come dance mecome come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazy come come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazy come come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazy come come lady butterfly sugar baby come lady pretty baby ill make legs shake make go crazycome dance
30,put,ja rule featuring lil mo and vita,2001,would without baby thought alone might break want go crazy every thug needs ladygirl feel like mourning together inseparable chose pain pleasure forever part mind body soul aint baby cry wipes tears scared whos telling theres nothin fear girl ill always need shoulder lean never hesitate knowing call soulmate vice versa thats first see jacob frost wrist owe know tired lonely baby girl put mewhere would without uh think yeah know tired lonely lonely baby girl put put mewhere would without uh think yeah know tired lonely lonely baby girl put put meyo appreciate rocks gifts cop baby house hill drop like payment thinking damn aint life gravy ever since honey twice lady would without nights kept warm cold world girl caught storm accept riff caught roam respect flip cause love strong hit block watch pops asleep snuck backdoor baby boy since junior high life get hot july world ballin tied together never heart heart knew would last forever told would never leave lonely baby boy put mewhere would without uh think yeah know tired lonely lonely baby girl put put mewhere would without uh think yeah know tired lonely lonely baby girl put put mesince met tear tear baby eye eye know heart gon cry leave lonely cause love homie whos gonna console love im outta control hold love cause im want nothin hurt baby girl world itd baby thought alone might break want go crazy cause every thug needs lady yeah yeah feel baby cause eyes aint lying wash away tears crying baby complete would die aint wit baby girl put mewhere would without uh think yeah know tired lonely lonely baby girl put put mewhere would without uh think yeah know tired lonely lonely baby girl put put mewhere would without uh think yeah know tired lonely lonely baby girl put put mewhere would without uh think yeah know tired lonely lonely baby girl put put
31,family affair,mary j blige,2001,lets get crunk gon fun dancerie got ya open ya floatin gots dance need hateration holleration dancerie lets get percolatin waiting dance mecome everybody get cause know gots get crunk mary j spot tonight imma make feel alright make feel alright come baby party let loose set body free leave situations door step inside jump floorlets get crunk gon fun dancerie got ya open ya floatin gots dance need hateration holleration dancerie lets get percolatin waiting dance meits gonna matter time get loose start loose mind cop drink go head rock ice cause celebrating drama life great track pumpin everybodys jumpin goin ahead twist back get body bumpin told leave situations door grab somebody get ass dance floorlets get crunk gon fun dancerie got ya open ya floatin gots dance need hateration holleration dancerie lets get percolatin waiting dance mewe need need haters try love one another want whyall good time drama life work real hard make dime got beef problem mine leave bs outside gonna celebrate night lets fun tonight fights turn great track way making dance night got real heat ya time matter white black lets get crunk cause marys backlets get crunk gon fun dancerie got ya open ya floatin gots dance need hateration holleration dancerie lets get percolatin waiting dance
32,hope dance,lee ann womack,2001,hope never lose sense wonder get fill eat always keep hunger may never take one single breath granted god forbid love ever leave empty handed hope still feel small stand beside ocean whenever one door closes hope one opens promise give faith fighting chance get choice sit dancei hope dance hope dancei hope never fear mountains distance never settle path least resistance livin might mean takin chances theyre worth takin lovin might mistake worth makin let hellbent heart leave bitter come close sellin reconsider give heavens passing glance get choice sit dancei hope dance time wheel constant motion always rolling us along hope dancei hope dance tell wants look back years wonder hope dance years gonei hope still feel small stand beside ocean whenever one door closes hope one opens promise give faith fighting chance get choice sit dancedancei hope dance hope dance time wheel constant motion always rolling us along hope dance tell wants look back years wonder
33,south side,moby featuring gwen stefani,2001,see pouring home see light come see pouring rain watch hope come mehere going east side pick friends start ride ride night ride day may come may stayhere pouring home watch light man fall comb watch light move across screen watch light come mehere going west side weapons hand go ride may come may stay watching sunny day thereslove darkness sidearm hey elanhere going north side look friends start ride ride night ride day looking sunny dayhere going south side pick friends hope die ride night ride heaven hellcome back feel well
34,tell,madonna,2001,tell stop tell rain drop tell wind blow cause said sotell sun shine get time let fall way leave lay downtell love true something tell everything im please tell stoptell leaves turn ever tell ill learn take black crow tell gotell bed lay like open mouth grave yeah stare like calf kneestell love true something tell everything im ever tell stopdont ever tell tell love true something ever tell tell everything im ever tell stopdont ever please please please tell stopdont ever tell ever ever tell stoptell rain drop tell bed lay like open mouth grave yeah stare like calf kneeslike open mouth grave yeah stare
35,get ur freak,missy elliott,2001,head banga hit hit hit hit hit yeah hit gimme new shit yeah gimme new shit yeah gimme new shit yeah gimme new shitmissy puttin im hottest round told yall motherooh yall cant stop listen im lasting twenty rounds want nigga come get biggiebiggiebounce know dig way swswswitch style holla people sing around people gather round people jump aroundgo get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak meaning byamandah editor beginning recording man says japanese kore kara minna de mechakucha odotte sawagou sawagou english translates everyone start see go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak onwhos bitch people know timbaland hot since twenty years ago dealio drilly yo wanna battle nigga let know holla gotta feel son let throw people come sweat im done got radio shook like got gungo get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak ongo get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak onquiet shhh hush mouth silence spit spit sound face open mouth give taste holla aint stoppin copywritten copy yall sloppyly yall cant come close know feel know hear loud scream loud proud missy gon blow people gon play town cause im best around crazy stylego get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak ongo get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur freak go get ur get ur get ur get ur get ur freak
37,fill,craig david,2001,right come fill lets talk iti checking girl next door parents went phoned said hey boy come right around knock door standin bottle red wine ready pour dressed long black satin lace floor went sat start kissing caressing told jacuzzi sounded interesting jumped right calls diverted answer phone please leave message tone mean parents kind cool ran fine line things young people love parents tryna find tosaying creeping around late last night see two shadows moving bedroom light dressed black left dressed white fill calls diverted answer phone red wine bottle half contents gone returned jacuzzi turned fill inwhenever coast clear shed ask come id say hey girl come right around knocked door standing keys hand x jumped ride checkin nobody saw club went got bounced bounced rhythm saw early morning thought wed better leavin gave jacket hold told wear cause felt cold mean mean break rules trying play mum dad fools things young people love parents tryna find tosaying cant keep promises say home come strolling went girls leaving boy next door fill wearing jacket whos property said queuing taxi left money tv fill inall seem checking baby watchin every move think day might approve babywhy creeping around late last night see two shadows moving bedroom light dressed black left dressed white fill calls diverted answer phone red wine bottle half contents gone returned jacuzzi turned fill
